product_id,product_name,category,sub_category,supplier_id,supplier_name,default_warehouse_id,lead_time_days,avg_unit_price,standard_unit_cost,reorder_point_qty,target_stock_qty
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,10,$275.06,$176.83,5,10
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-WEST,11,$47.72,$28.31,5,10
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-EAST,16,$167.67,$101.55,5,10
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-SOUTH,18,$51.64,$30.48,5,10
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,16,$174.92,$104.32,5,10
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,11,$214.89,$129.76,5,10
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-WEST,18,$81.65,$47.85,5,10
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-EAST,11,$73.85,$46.92,5,10
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,11,$90.88,$56.53,5,10
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,16,$228.60,$131.19,5,10
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,10,$70.01,$40.39,5,10
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-SOUTH,17,$93.48,$59.67,5,10
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-SOUTH,13,$111.68,$67.01,5,10
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,15,$364.91,$232.95,5,10
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-EAST,10,$84.96,$51.86,5,10
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-WEST,17,$98.31,$60.70,5,10
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,16,$68.92,$41.13,5,10
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-WEST,12,$119.83,$72.43,5,10
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,11,$563.89,$323.27,5,10
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,13,$47.54,$28.32,5,10
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,11,$466.02,$283.60,5,10
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-EAST,10,$54.58,$32.10,5,10
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-EAST,13,$259.46,$154.15,5,10
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,15,$127.76,$73.04,5,10
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,10,$73.75,$42.08,5,10
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-WEST,11,$136.22,$86.02,5,10
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-EAST,13,$138.78,$85.78,5,10
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,14,$82.03,$51.71,5,10
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-EAST,10,$103.78,$63.89,5,10
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,11,$307.84,$199.85,6,19
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-SOUTH,17,$36.98,$22.77,5,10
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,18,$61.30,$35.25,5,10
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,15,$44.67,$26.27,5,10
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-SOUTH,13,$170.40,$104.73,5,10
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-EAST,10,$43.17,$26.80,5,10
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-CENTRAL,11,$92.50,$54.67,5,10
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,13,$174.82,$110.82,5,10
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,11,$93.96,$60.18,5,10
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,13,$143.57,$84.75,5,10
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-WEST,15,$83.77,$52.72,5,10
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-WEST,14,$177.20,$103.92,5,10
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-WEST,13,$155.76,$97.38,5,10
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,17,$43.58,$25.43,5,10
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,SUP-FUR-01,Northwood Furnishings,WH-CENTRAL,14,$52.97,$31.86,5,10
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-WEST,10,$46.48,$28.29,5,10
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,10,$138.63,$84.11,5,17
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-EAST,10,$148.81,$84.99,5,10
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,SUP-FUR-02,Atlas Workspace Supply,WH-EAST,18,$56.83,$35.39,5,10
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,SUP-FUR-04,Cedar Contract Goods,WH-EAST,18,$533.36,$309.64,5,10
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-CENTRAL,16,$327.95,$189.32,5,10
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,SUP-FUR-02,Atlas Workspace Supply,WH-WEST,14,$166.31,$108.01,5,10
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,SUP-FUR-01,Northwood Furnishings,WH-WEST,15,$131.24,$78.81,5,10
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,18,$149.04,$92.17,5,10
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-EAST,15,$363.19,$212.91,5,10
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,SUP-FUR-03,Summit Office Interiors,WH-CENTRAL,16,$76.63,$47.39,5,10
