receipt_id,purchase_order_id,product_id,warehouse_id,receipt_date,received_quantity,receipt_status
RCV-0000365,PO-000331,FUR-CH-10004063,WH-CENTRAL,2014-12-30,13,Received
RCV-0002364,PO-002141,OFF-BI-10004094,WH-EAST,2014-12-30,10,Received
RCV-0002890,PO-002614,OFF-LA-10003223,WH-CENTRAL,2014-12-30,13,Received
RCV-0005123,PO-004666,TEC-PH-10004539,WH-EAST,2014-12-30,11,Received
RCV-0001496,PO-001362,OFF-AR-10001662,WH-SOUTH,2014-12-31,16,Received
RCV-0001572,PO-001433,OFF-AR-10002399,WH-EAST,2014-12-31,10,Received
RCV-0001644,PO-001500,OFF-AR-10003478,WH-CENTRAL,2014-12-31,11,Received
RCV-0003947,PO-003578,OFF-ST-10002743,WH-WEST,2014-12-31,13,Received
RCV-0002449,PO-002218,OFF-BI-10004632,WH-CENTRAL,2015-01-01,10,Received
RCV-0003000,PO-002711,OFF-PA-10000174,WH-EAST,2015-01-01,10,Received
RCV-0001726,PO-001571,OFF-AR-10004078,WH-CENTRAL,2015-01-02,12,Received
RCV-0002307,PO-002094,OFF-BI-10003708,WH-CENTRAL,2015-01-02,10,Received
RCV-0002706,PO-002446,OFF-FA-10001883,WH-SOUTH,2015-01-03,12,Received
RCV-0003128,PO-002828,OFF-PA-10000955,WH-CENTRAL,2015-01-03,14,Received
RCV-0005167,PO-004706,TEC-PH-10004977,WH-EAST,2015-01-03,11,Received
RCV-0003303,PO-002987,OFF-PA-10002005,WH-WEST,2015-01-04,15,Received
RCV-0000917,PO-000834,FUR-FU-10004864,WH-EAST,2015-01-05,10,Received
RCV-0000431,PO-000389,FUR-FU-10000010,WH-EAST,2015-01-06,11,Received
RCV-0002936,PO-002652,OFF-LA-10004272,WH-SOUTH,2015-01-06,11,Received
RCV-0003690,PO-003340,OFF-ST-10000078,WH-WEST,2015-01-06,15,Received
RCV-0002545,PO-002303,OFF-EN-10001532,WH-EAST,2015-01-07,14,Received
RCV-0003675,PO-003327,OFF-ST-10000025,WH-CENTRAL,2015-01-07,10,Received
RCV-0004259,PO-003863,TEC-AC-10001266,WH-CENTRAL,2015-01-07,10,Received
RCV-0000067,PO-000060,FUR-BO-10003034,WH-EAST,2015-01-08,11,Received
RCV-0000527,PO-000478,FUR-FU-10000965,WH-EAST,2015-01-08,12,Received
RCV-0002259,PO-002052,OFF-BI-10003476,WH-EAST,2015-01-08,10,Received
RCV-0000076,PO-000069,FUR-BO-10003433,WH-SOUTH,2015-01-09,11,Received
RCV-0000138,PO-000126,FUR-CH-10000422,WH-CENTRAL,2015-01-09,12,Received
RCV-0001652,PO-001507,OFF-AR-10003514,WH-WEST,2015-01-09,14,Received
RCV-0002365,PO-002142,OFF-BI-10004094,WH-CENTRAL,2015-01-09,25,Received
RCV-0003424,PO-003094,OFF-PA-10002947,WH-EAST,2015-01-09,10,Received
